Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,
20/03/2024 14:15:38,50,0,"-0,422866","-0,3517","-0,459915","-0,941679","8,537827","5,681987","3,23403","3,085911","-8,652717","0,899529","3909,552774"
20/03/2024 14:15:38,50,0,"-0,441686","-0,308771","-0,499707","-0,941503","8,684109","5,579709","3,235929","3,100675","-8,652203","0,934524","4580,885187"
20/03/2024 14:15:38,50,0,"-0,478016","-0,351779","-0,467889","-0,936354","8,570944","5,68825","3,230469","3,091767","-8,650759","0,929901","4327,716279"
20/03/2024 14:15:38,50,0,"-0,451791","-0,342327","-0,519564","-0,928067","8,756534","5,59386","3,233996","3,092796","-8,643278","0,940431","4931,223301"
20/03/2024 14:15:38,50,0,"-0,4693","-0,313891","-0,573351","-0,94242","8,590648","5,771429","3,224094","3,105856","-8,621061","0,924122","4340,508487"
20/03/2024 14:15:39,50,0,"-0,436056","-0,338861","-0,46828","-0,945523","8,784293","5,655172","3,219956","3,083675","-8,640935","0,923576","4979,045284"
20/03/2024 14:15:39,50,0,"-0,461124","-0,293805","-0,564517","-0,948168","8,559395","5,638668","3,237116","3,094996","-8,666073","0,956227","4385,477278"
20/03/2024 14:15:39,50,0,"-0,499459","-0,310583","-0,497284","-0,947181","8,67013","5,681987","3,218464","3,093364","-8,63461","0,971766","4983,012503"
20/03/2024 14:15:39,50,0,"-0,440838","-0,281911","-0,589065","-0,940092","8,70551","5,740704","3,22328","3,071006","-8,663986","0,945504","5027,566419"
20/03/2024 14:15:39,50,0,"-0,444078","-0,306329","-0,382284","-0,950496","8,552172","5,415738","3,228977","3,095316","-8,63599","0,995427","4427,280685"
20/03/2024 14:15:39,50,0,"-0,463747","-0,311371","-0,416839","-0,945841","8,552672","5,504453","3,222703","3,080765","-8,664403","0,945793","4211,900866"
20/03/2024 14:15:39,50,0,"-0,456033","-0,334371","-0,428018","-0,944642","8,697822","5,679462","3,225213","3,09127","-8,66405","1,003775","4715,897595"
20/03/2024 14:15:40,50,0,"-0,453102","-0,323028","-0,466403","-0,947251","8,454618","5,453971","3,247188","3,098226","-8,638751","0,944444","3530,80049"
20/03/2024 14:15:40,50,0,"-0,463361","-0,356111","-0,465543","-0,93438","8,56076","5,578809","3,22718","3,095209","-8,61875","0,907652","5513,925665"
20/03/2024 14:15:40,50,0,"-0,429268","-0,310347","-0,390962","-0,941715","8,584657","5,678112","3,232945","3,106034","-8,639008","0,972312","4906,910261"
20/03/2024 14:15:40,50,0,"-0,483647","-0,354378","-0,457804","-0,934838","8,773942","5,718975","3,226908","3,070651","-8,669861","0,956355","4434,130706"
20/03/2024 14:15:40,50,0,"-0,466909","-0,348471","-0,425985","-0,944218","8,714397","5,716588","3,235929","3,073667","-8,660455","0,939917","4862,172404"
20/03/2024 14:15:40,50,0,"-0,492594","-0,373125","-0,444592","-0,940234","8,535331","5,578775","3,213784","3,058656","-8,632523","0,924764","4320,727045"
20/03/2024 14:15:41,50,0,"-0,494677","-0,321059","-0,464371","-0,947533","8,680148","5,591611","3,23481","3,07491","-8,641031","0,968427","4848,29692"
20/03/2024 14:15:41,50,0,"-0,463978","-0,287346","-0,421451","-0,95381","8,416308","5,433245","3,235386","3,071928","-8,674452","0,959341","5502,700153"
20/03/2024 14:15:41,50,0,"-0,478402","-0,273641","-0,496189","-0,937871","8,573208","5,602164","3,240168","3,097339","-8,656088","0,931955","5437,861397"
