Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,Untitled 12
20/03/2024 12:57:53,38,0,"-0,47362","-0,347289","-0,441621","-0,924118","6,406706","3,975256","3,21392","3,058265","-8,644306","0,971541","3962,752403"
20/03/2024 12:57:54,38,0,"-0,491746","-0,293569","-0,531838","-0,946193","6,436861","3,908512","3,203611","3,063518","-8,653167","0,924603","4740,92819"
20/03/2024 12:57:54,38,0,"-0,459119","-0,361389","-0,439666","-0,88441","6,386237","3,893357","3,201847","3,073845","-8,666811","0,942036","3948,667852"
20/03/2024 12:57:54,38,0,"-0,495063","-0,333347","-0,419184","-0,885538","6,431968","3,993836","3,209885","3,078352","-8,648511","0,935487","4701,116351"
20/03/2024 12:57:54,38,0,"-0,50131","-0,357608","-0,539813","-0,913433","6,406173","3,966882","3,199779","3,05351","-8,670247","0,910092","4021,761296"
20/03/2024 12:57:54,38,0,"-0,519591","-0,327518","-0,604309","-0,915478","6,384872","4,011724","3,196693","3,073916","-8,6523","0,918022","4371,834573"
20/03/2024 12:57:54,38,0,"-0,459196","-0,312552","-0,493766","-0,889382","6,365235","3,85457","3,192691","3,054823","-8,669669","0,930928","4026,663186"
20/03/2024 12:57:54,38,0,"-0,491129","-0,256154","-0,411288","-0,913221","6,378881","3,928649","3,192284","3,067492","-8,66694","0,906592","4763,079885"
20/03/2024 12:57:55,38,0,"-0,499845","-0,316018","-0,496111","-0,888712","6,424613","3,889793","3,198185","3,076578","-8,654194","0,907844","3988,92286"
20/03/2024 12:57:55,38,0,"-0,457499","-0,333032","-0,475941","-0,904475","6,362306","3,945811","3,199813","3,054077","-8,640581","0,882256","3962,009873"
20/03/2024 12:57:55,38,0,"-0,45935","-0,398331","-0,613691","-0,89506","6,35262","3,926538","3,188147","3,068167","-8,677952","0,939757","4006,059042"
20/03/2024 12:57:55,38,0,"-0,474854","-0,320744","-0,449439","-0,911775","6,333149","3,973768","3,207341","3,057165","-8,656538","0,881839","4721,422686"
20/03/2024 12:57:55,38,0,"-0,528384","-0,325076","-0,46398","-0,914596","6,428141","4,02726","3,214259","3,065682","-8,652268","0,942165","4028,550032"
20/03/2024 12:57:55,38,0,"-0,487658","-0,31208","-0,523473","-0,885891","6,32373","3,925258","3,211241","3,066463","-8,659427","0,914715","4030,249057"
20/03/2024 12:57:56,38,0,"-0,467835","-0,310662","-0,427549","-0,914737","6,365201","3,940794","3,202186","3,073313","-8,641705","0,929579","3935,831608"
20/03/2024 12:57:56,38,0,"-0,476782","-0,332323","-0,322087","-0,895448","6,410767","3,978058","3,192216","3,067066","-8,634802","0,879206","3959,690303"
20/03/2024 12:57:56,38,0,"-0,503162","-0,319956","-0,441934","-0,929478","6,389132","3,831733","3,205679","3,057236","-8,665142","0,931763","3997,996953"
