Frequencia CMB,CV-1,PT-2
40.0,29.5914062,8.9249999
40.0,29.5960936,8.9300781
40.0,29.5973956,8.927604
40.0,29.598176799999997,8.937760299999999
40.0,29.593228800000002,8.9389322
40.0,29.5916664,8.938151000000001
40.0,29.5874996,8.9355469
40.0,29.589322599999996,8.9341146
40.0,29.592447599999996,8.9333333
40.0,29.5903644,8.940104199999999
40.0,29.5950518,8.9432292
40.0,29.597135400000003,8.943229200000001
40.0,29.598698000000002,8.933073
40.0,29.6,8.9304689
40.0,29.5992188,8.9197917
40.0,29.596354400000003,8.9063802
40.0,29.5937502,8.907031100000001
40.0,29.589323200000003,8.920703
40.0,29.592708799999997,8.923307099999999
40.0,29.591406799999998,8.917838399999999
40.0,29.590365000000002,8.9359375
40.0,29.5908856,8.937369799999999
40.0,29.5890626,8.9315105
40.0,29.5867188,8.9294271
40.0,29.584895799999998,8.9286458
40.0,29.580729,8.919401
40.0,29.5796876,8.9183594
40.0,29.5835938,8.9320312
40.0,29.5867188,8.9408855
40.0,29.5882812,8.945182500000001
40.0,29.5914062,8.9420575
40.0,29.5934894,8.9446616
40.0,29.5945312,8.9368491
40.0,29.5914062,8.9355469
40.0,29.5895832,8.9325521
40.0,29.594791800000003,8.943489600000001
40.0,29.5979168,8.938541800000001
40.0,29.6,8.941666800000002
40.0,29.5989582,8.937239700000001
40.0,29.6010418,8.9523438
40.0,29.5953126,8.944401099999999
40.0,29.5911458,8.9493489
40.0,29.5859376,8.9571614
40.0,29.5869794,8.958072900000001
40.0,29.5901044,8.941927
40.0,29.592708599999998,8.939452900000001
40.0,29.593750399999998,8.9279947
40.0,29.595052399999997,8.9104165
40.0,29.5940106,8.9074218
40.0,29.591927,8.9126302
40.0,29.591927,8.910547
40.0,29.595052,8.924088600000001
40.0,29.595833199999998,8.9365886
40.0,29.594791800000003,8.940755200000002
40.0,29.5885418,8.9444011
40.0,29.5875,8.947526100000001
40.0,29.5854168,8.9485677
40.0,29.5822918,8.9442709
40.0,29.5875,8.9473959
40.0,29.5979168,8.9449218
40.0,29.6,8.947004999999999
40.0,29.601041399999996,8.9371093
40.0,29.609374600000002,8.9350259
40.0,29.604166399999997,8.935546800000001
40.0,29.6020832,8.9260416
40.0,29.642708199999998,8.9385416
40.0,29.844791800000003,8.9848957
40.0,30.259114800000003,9.0576823
40.0,30.9070316,9.154036399999999
40.0,31.737239799999998,9.317057299999998
40.0,32.7403652,9.480599100000001
40.0,33.8111984,9.63737
40.0,34.870833600000005,9.8161459
40.0,35.93125,9.996875
40.0,37.020833599999996,10.1770834
40.0,38.1020836,10.3442709
40.0,39.1916672,10.515625
40.0,40.2937508,10.6838543
40.0,41.397917199999995,10.8343752
40.0,42.566146,10.9947918
40.0,43.799478799999996,11.1833334
40.0,45.0369788,11.3395834
40.0,46.3098952,11.4692709
40.0,47.5890624,11.6338543
40.0,48.80625,11.7510418
40.0,49.970833600000006,11.8338543
40.0,51.145833599999996,11.9317709
40.0,52.3104172,12.0265625
40.0,53.47083359999999,12.1109375
40.0,54.639583599999995,12.179166599999999
40.0,55.75520859999999,12.257291599999999
40.0,56.792708600000005,12.31875
40.0,57.7739586,12.366145900000001
40.0,58.521875,12.3739584
40.0,59.053125,12.3942709
40.0,59.4145836,12.4026043
40.0,59.608333599999995,12.417187700000001
40.0,59.62083359999999,12.4223959
40.0,59.627083600000006,12.4296875
40.0,59.625,12.427083399999999
40.0,59.63125,12.4229166
40.0,59.63333279999999,12.424999799999998
40.0,59.624999200000005,12.429687300000001
40.0,59.624999200000005,12.4286457
40.0,59.62395779999999,12.4348957
40.0,59.61770779999999,12.4458332
40.0,59.6197914,12.4395832
40.0,59.626041400000005,12.43125
40.0,59.6302086,12.441666600000001
40.0,59.635417200000006,12.4473957
40.0,59.64166719999999,12.459375
40.0,59.632292199999995,12.484895900000001
40.0,59.6281258,12.493229099999999
40.0,59.6281258,12.4921875
40.0,59.62604220000001,12.4994793
40.0,59.621875,12.490625
40.0,59.629166399999995,12.461979099999999
40.0,59.6260414,12.4578125
40.0,59.630207799999994,12.4546875
40.0,59.6322914,12.4505207
40.0,59.634375,12.4364582
40.0,59.63229220000001,12.4380207
40.0,59.63229220000001,12.441927
40.0,59.6239586,12.4471352
40.0,59.621875,12.4221352
40.0,59.6260414,12.4361977
40.0,59.6260414,12.4492186
40.0,59.6322914,12.445312300000001
40.0,59.640625,12.4473957
40.0,59.64479140000001,12.480729100000001
40.0,59.646875,12.4828125
40.0,59.6479164,12.484375
40.0,59.64895779999999,12.4786459
40.0,59.644791399999995,12.46875
40.0,59.640625,12.4572916
40.0,59.6375,12.4424478
40.0,59.642708600000006,12.429947799999999
