time,pressure_set_point,pressure_predicted,error,delta_error,frequency,delta_frequency,pt_k_1,pt_k_2,angle_set_point,angle,angle_error,model,time
2024-04-20 11:08:46.191924,6.0,6.093248470820331,-0.09324847082033116,0.0011555884832379348,30.0,-1.4921711813048612e-17,6.094404059303569,6.09563438734045,30.0,29.055574496776853,-1.1345350521070579,MLP,2024-04-20 11:08:46.191924
2024-04-20 11:08:46.698773,6.0,6.092162591343856,-0.09216259134385574,0.0010858794764754265,30.0,-1.492040934530141e-17,6.093248470820331,6.094404059303569,30.0,30.03039495855485,0.11524304590812662,MLP,2024-04-20 11:08:46.698773
2024-04-20 11:08:47.229456,6.0,6.0911421089768165,-0.09114210897681652,0.0010204823670392216,30.0,-1.4919185525926924e-17,6.092162591343856,6.093248470820331,30.0,31.135846474407543,1.4111557655354687,MLP,2024-04-20 11:08:47.229456
2024-04-20 11:08:47.717940,6.0,6.090184149120998,-0.09018414912099804,0.0009579598558184799,30.0,-1.4918036869710678e-17,6.0911421089768165,6.092162591343856,30.0,30.80060261177683,0.5044711149620476,MLP,2024-04-20 11:08:47.717940
2024-04-20 11:08:48.229810,6.0,6.089282962579965,-0.08928296257996493,0.0009011865410331055,30.0,-1.491695644984366e-17,6.090184149120998,6.0911421089768165,30.0,30.800835444932588,0.886206157179295,MLP,2024-04-20 11:08:48.229810
2024-04-20 11:08:48.729507,6.0,6.088436393405056,-0.08843639340505582,0.0008465691749091064,30.0,-1.4915941652515455e-17,6.089282962579965,6.090184149120998,30.0,29.847990098514018,0.12034696437806502,MLP,2024-04-20 11:08:48.729507
2024-04-20 11:08:49.240236,6.0,6.087641566998053,-0.08764156699805259,0.0007948264070032351,30.0,-1.491498900581541e-17,6.088436393405056,6.089282962579965,30.0,29.971998444636174,0.09644234580159505,MLP,2024-04-20 11:08:49.240236
2024-04-20 11:08:50.236913,6.0,6.086893452812075,-0.08689345281207483,0.0007481141859777551,30.0,-1.4914092457652037e-17,6.087641566998053,6.088436393405056,30.0,30.241436515849887,-0.05557439550000964,MLP,2024-04-20 11:08:50.236913
2024-04-20 11:08:50.756232,6.0,6.086192050847124,-0.08619205084712434,0.0007014019649504988,30.0,-1.4913251987815086e-17,6.086893452812075,6.087641566998053,30.0,31.105208174712594,1.114162175403358,MLP,2024-04-20 11:08:50.756232
2024-04-20 11:08:51.261239,6.0,6.085531611906767,-0.08553161190676661,0.0006604389403577215,30.0,-1.4912460689380796e-17,6.086192050847124,6.086893452812075,30.0,29.022488960509154,-0.7910684492716591,MLP,2024-04-20 11:08:51.261239
2024-04-20 11:08:51.774055,6.0,6.084912135991001,-0.08491213599100078,0.0006194759157658325,30.0,-1.4911718546710342e-17,6.085531611906767,6.086192050847124,30.0,30.141951070412937,0.10635989743085261,MLP,2024-04-20 11:08:51.774055
2024-04-20 11:08:52.281603,6.0,6.084329311202502,-0.08432931120250231,0.0005828247884984705,30.0,-1.4911020380151392e-17,6.084912135991001,6.085531611906767,30.0,29.492586493346895,-0.6513018873598888,MLP,2024-04-20 11:08:52.281603
